fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,ph,sulphates,alcohol,predicted_quality
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5.63440791734898
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,5.78893709804019
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,5.29829783162513
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,5.35296003592802
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,5.83350645616053
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,5.57304823837186
7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5.24320246365201
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,4.86026679572059
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,5.31068758352596
9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,4.22503184499263
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,5.83082184622665
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,5.38870943233445
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5.02329440482684
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5.61174375974699
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6.62814667275825
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5.37698303896337
7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5.69187536151484
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6.18534798834979
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,6.42559698416659
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6.01013001456971
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,6.01946492114357
10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5.07862378618836
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,6.20308966168441
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6.01828407942297
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,4.84971043723647
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,5.78567978045363
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6.23769261070771
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,5.12481322071629
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5.60209390288248
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,4.71682928452285
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,4.90829774887891
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,5.97632617986978
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,5.18875033280537
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,6.10238792712668
7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6.01555594463764
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,6.45964753885097
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5.00181392388818
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,5.6467154696469
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5.01843937386456
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5.31837106619218
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,5.59968223447253
6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5.69560230574706
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,5.61464899268318
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6.617698236432
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5.50741470226085
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6.24465979192666
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,5.82425191647852
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5.29558593226206
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5.51662425262409
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5.71729364509665
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5.41573428408849
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5.578820257556
8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5.05370693478134
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5.83538076470796
7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,6.63093456605227
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,5.97437319922262
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6.49736005621604
7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,5.78239684537803
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5.32585696472087
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,5.50891241952248
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,5.58864927718305
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5.18559791086686
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5.13150806292213
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,6.41006402968131
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,5.92398250672307
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6.16299435977856
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5.37640656551615
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,5.96113083321504
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5.61798141333478
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,5.25331961889781
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,5.21563156199192
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5.08660516467907
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,6.21334303686478
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,6.51190698574202
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,5.72746404316229
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5.14110182991554
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,5.7035924665973
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,5.93331911908956
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5.04922726733485
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,5.75965223891334
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5.20655812607521
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5.35957066380104
7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5.72519727407508
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5.03204388690516
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,5.36714513198511
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5.19535251718062
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6.24837232220813
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,5.52144520146933
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,6.62731247036686
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,5.67122781560598
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,5.53231532236493
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.31268333350146
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6.17486266838729
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6.11293737595484
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,6.09770832704668
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,6.02671143411142
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,5.78371391758992
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,5.9015946342034
7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5.03185922191832
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6.55384056224664
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5.41771965267885
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6.19727908394043
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,5.82425191647852
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6.09210037690081
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5.87711456851241
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,6.20335018130219
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,5.92628883542115
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5.39723594482124
9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,6.55303292008719
7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,5.49997532209403
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6.41317452092946
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,5.35036289287905
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6.01946119663589
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6.05757591770397
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,6.15546147524523
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5.13382472805544
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5.29408787705944
7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,5.28771230946778
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5.8633707814766
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5.39277803112653
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5.01230161118699
10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6.33484200823007
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,5.25913148330061
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5.46343238217249
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,5.8129946341254
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,5.79649109287486
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,5.22242040555386
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5.3393631325181
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5.90749950229185
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,5.39675726458786
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,5.67275300512417
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5.39881339693401
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6.18074854539433
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,5.35794373348803
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,5.86708235599651
6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5.37807019115575
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5.48574425345169
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,5.4472288417911
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,5.72350607684517
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5.41605495094716
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5.43601942358244
7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5.16357840516203
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5.38760792564276
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,5.40951931201422
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5.00781793744023
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,6.28664161715396
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5.10048406568417
7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5.20393537358428
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5.2638001075767
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5.53884337028982
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,5.88437249502725
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,5.34534686322236
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,5.63891192185895
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5.10283911236853
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5.66416287160178
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5.03613869269461
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,5.91822948905966
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5.08680720605993
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,6.35092524059228
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,5.74298222270626
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,5.14334055892767
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,5.05089533632354
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,6.57521411589563
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5.39748585178063
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,6.00789311190066
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5.58410302487087
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,5.72708707940673
6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,5.57989923704235
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,5.87761306230034
8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6.12379175933498
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,5.41935729334914
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,6.68185668011967
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,5.2256594717597
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,4.96197966301914
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,5.68931560686551
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,5.77379141967836
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,6.29651528792903
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5.77974039467212
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5.81787577822916
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,6.22395935532029
9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,6.59975658862412
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6.76459739002075
8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5.49864796650396
8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,5.10633983417097
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,6.2602566482967
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5.10417861081742
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,5.97800286082336
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6.16947853697406
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,6.17315787948342
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,5.36063852932746
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6.42883253652954
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,4.66932767549037
8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,5.56457065355507
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5.35288340198965
7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,5.42525883803935
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,4.87715698699009
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5.26235010717347
7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,6.55142870359403
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6.15607323266789
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,6.21536270110201
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5.59792825445187
6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6.39396563595589
7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,5.40707709230452
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,4.88428025061055
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5.58195094858173
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,6.55020247561409
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,4.24458414783066
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5.32675912641855
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,6.14237750536266
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5.41771965267885
9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5.06548259756676
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,5.44278321899496
8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,6.50126017119971
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5.83919475319957
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,5.76885893123757
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,6.69771592660154
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,6.27676682355912
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,5.31055609210373
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5.19981576343814
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5.5976375448344
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,6.15546147524523
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,6.16954798978388
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,5.81025615011241
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,5.75176947344708
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5.86471806447463
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5.61868300284346
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6.01442528035506
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,6.47171589472751
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,5.69284132090873
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,6.08675353820694
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5.00599732444483
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,5.79978577233822
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,5.82317705344482
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,5.85520634395544
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4.70964086178936
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5.18724998467876
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,5.4590317386896
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5.9423564857279
6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,5.64212153696084
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,6.04554987290214
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5.6779159693501
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5.34185833364637
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5.83919475319957
7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5.40899370553083
8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5.04175001238484
