location_state,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,high_value,Campaign_A,probability_high_value
California,Yes,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Corporate L1,Offer1,Web,508.8,SUV,Medsize,1,Yes,0.99622999915675
Nevada,No,Basic,High School or Below,Employed,F,36014,Rural,Married,69,4,40,3,2,Special Auto,Special L1,Offer4,Branch,173.956072,Four-Door Car,Medsize,1,Yes,0.9940326914628332
Washington,No,Basic,Bachelor,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize,0,No,0.19264838822041447
California,No,Premium,Bachelor,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Personal L2,Offer1,Branch,831.625979,Four-Door Car,Small,0,No,0.009077251301583943
Arizona,No,Extended,College,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small,1,Yes,0.9959339689962816
California,No,Basic,College,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Special L2,Offer2,Branch,302.56519,Four-Door Car,Medsize,1,Yes,0.99582623430439
Arizona,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Personal L2,Offer1,Call Center,484.8,SUV,Small,0,No,0.008277529608123623
Oregon,No,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal Auto,Personal L3,Offer1,Call Center,704.7681110000003,SUV,Medsize,0,No,0.017665097082460692
Oregon,No,Premium,Master,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize,0,No,0.00881321891990024
Arizona,Yes,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L1,Offer1,Agent,312.0,Four-Door Car,Medsize,0,No,0.0213305138024582
California,No,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Personal L3,Offer1,Call Center,504.0,Two-Door Car,Small,1,Yes,0.9943599375533584
Oregon,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Personal L3,Offer1,Agent,863.327324,Two-Door Car,Small,0,No,0.008764241668526167
California,No,Basic,High School or Below,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Personal L3,Offer1,Agent,104.331355,SUV,Medsize,1,Yes,0.9962210674362232
Arizona,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,676.391482,Four-Door Car,Large,1,Yes,0.9888907735127944
Washington,No,Basic,College,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize,0,No,0.007052015912794478
Oregon,No,Basic,College,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize,1,Yes,0.9957184982072044
Arizona,No,Extended,High School or Below,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Personal L3,Offer4,Branch,465.25864400000006,Two-Door Car,Small,1,Yes,0.99597362565507
Oregon,Yes,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large,1,Yes,0.9943925517093544
California,No,Premium,College,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Personal L3,Offer3,Web,500.254235,Four-Door Car,Medsize,1,Yes,0.9961480989126972
Oregon,No,Basic,High School or Below,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Offer4,Agent,281.451042,SUV,Medsize,1,Yes,0.9957149697481282
Oregon,No,Basic,Master,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Personal L2,Offer2,Web,5.4345050000000015,Two-Door Car,Large,0,No,0.0068587104115789286
Oregon,No,Basic,Master,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,Medsize,0,No,0.007152939960341022
Oregon,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal Auto,Personal L3,Offer1,Agent,982.399613,Sports Car,Medsize,1,Yes,0.9864439103842562
Oregon,Yes,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L3,Offer2,Branch,467.803638,Two-Door Car,Medsize,0,No,0.08689632039333549
Oregon,No,Basic,Bachelor,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Small,1,Yes,0.9950188039353084
Oregon,No,Basic,High School or Below,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,29.03416,Four-Door Car,Medsize,1,Yes,0.9900083556838878
Nevada,No,Basic,College,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize,1,Yes,0.9948890547176222
Washington,No,Extended,College,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal Auto,Personal L3,Offer1,Agent,115.728852,Four-Door Car,Medsize,1,Yes,0.9963276628942672
California,No,Basic,Bachelor,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal Auto,Personal L3,Offer2,Branch,427.63121,Luxury Car,Small,1,Yes,0.9965427014903822
California,No,Extended,College,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,25.807685,Two-Door Car,Large,1,Yes,0.9951739027495896
California,Yes,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Personal L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize,1,Yes,0.9880088454589748
California,No,Basic,Doctor,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,Medsize,0,No,0.0073931209775144014
Nevada,No,Basic,Master,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large,0,No,0.006801191933923786
Oregon,No,Extended,College,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small,1,Yes,0.9946538529924752
Washington,No,Basic,High School or Below,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.8490720000001,Four-Door Car,Medsize,1,Yes,0.9944243641953484
California,Yes,Extended,College,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize,1,Yes,0.9890911165412124
California,No,Basic,Bachelor,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize,0,No,0.007320745929286906
Oregon,No,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize,0,No,0.00731959303221072
California,Yes,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize,1,Yes,0.9910573872028
Oregon,No,Premium,College,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small,1,Yes,0.9958134960782934
Washington,Yes,Extended,Bachelor,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,Medsize,1,Yes,0.99597362565507
Oregon,No,Basic,Bachelor,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,Medsize,0,No,0.00887517547238172
Oregon,No,Basic,Bachelor,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small,0,No,0.008702970333061963
California,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize,1,Yes,0.9640389235655062
Oregon,No,Basic,Bachelor,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Personal L3,Offer1,Branch,492.127532,Four-Door Car,Large,1,Yes,0.9954069502507144
Arizona,No,Basic,Master,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,132.58828799999998,SUV,Medsize,1,Yes,0.9941938551843332
California,No,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize,0,No,0.023014646716912536
Arizona,No,Basic,Bachelor,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,1,Yes,0.9902779158451028
Oregon,No,Extended,College,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small,1,Yes,0.9948418664506058
California,Yes,Basic,College,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Medsize,1,Yes,0.9947088291633231
California,Yes,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize,0,No,0.006340274064512937
Oregon,No,Basic,Bachelor,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize,0,No,0.058198282232228615
California,Yes,Premium,College,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize,0,No,0.007067992270925336
California,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Offer1,Web,936.0,SUV,Medsize,1,Yes,0.9953994264561872
Oregon,No,Extended,Bachelor,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,Small,1,Yes,0.9954206212045276
California,No,Basic,Bachelor,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize,1,Yes,0.9947117436869928
Oregon,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize,1,Yes,0.9937646381259868
California,No,Basic,Bachelor,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize,1,Yes,0.9922077929703996
Oregon,No,Basic,College,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,0,No,0.006513572861662406
California,No,Extended,College,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,408.0,Four-Door Car,Small,1,Yes,0.9948385000468396
Washington,No,Extended,High School or Below,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small,1,Yes,0.993022379255166
Arizona,No,Basic,College,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize,1,Yes,0.9936942252679551
Oregon,No,Basic,Bachelor,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize,1,Yes,0.9925731924521544
Washington,No,Basic,High School or Below,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,396.082036,Four-Door Car,Medsize,1,Yes,0.9955111971768208
California,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize,1,Yes,0.9932153373253356
Oregon,Yes,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize,0,No,0.061613880948206114
Arizona,No,Extended,High School or Below,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,465.633954,Two-Door Car,Medsize,1,Yes,0.9954102293680788
California,No,Basic,Bachelor,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize,0,No,0.0063350308346793475
California,No,Extended,College,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,Medsize,0,No,0.007328599112259674
Washington,No,Extended,College,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize,0,No,0.007116075738392501
California,No,Basic,Bachelor,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,64.109663,Sports Car,Medsize,1,Yes,0.9924400879216309
Oregon,No,Basic,High School or Below,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small,1,Yes,0.9901990864567236
California,No,Basic,High School or Below,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize,1,Yes,0.9953945072525308
Nevada,No,Basic,Bachelor,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize,0,No,0.008148775785472335
Oregon,No,Premium,College,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize,1,Yes,0.9963276628942672
Oregon,No,Extended,Master,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,143.747794,Four-Door Car,Medsize,0,No,0.007645169183108523
Arizona,No,Extended,College,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize,0,No,0.008452972947347993
Oregon,Yes,Basic,College,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize,1,Yes,0.9908686327412624
Washington,No,Basic,Master,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,2.704934,Four-Door Car,Medsize,1,Yes,0.9950481405213628
Arizona,No,Basic,High School or Below,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Offer1,Agent,523.2,Sports Car,Medsize,0,No,0.009812257692958072
Nevada,No,Basic,Bachelor,Employed,F,41611,Rural,Married,74,14,8,0,8,Special Auto,Special L2,Offer1,Branch,113.801497,Four-Door Car,Medsize,1,Yes,0.9899111994959359
Oregon,No,Basic,Bachelor,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,192.87572,Four-Door Car,Medsize,1,Yes,0.9852741290976852
Arizona,No,Premium,College,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal Auto,Personal L3,Offer1,Agent,828.662719,Four-Door Car,Small,0,No,0.00995432536797013
Arizona,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Corporate Auto,Corporate L2,Offer1,Web,532.8,Four-Door Car,Small,1,Yes,0.9945346454534464
Arizona,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal Auto,Personal L3,Offer1,Agent,975.107098,SUV,Medsize,0,No,0.010687895275082522
Oregon,No,Basic,High School or Below,Employed,F,80536,Rural,Married,119,5,83,0,3,Special Auto,Special L2,Offer1,Branch,53.798708,Sports Car,Medsize,1,Yes,0.9942889416906036
Washington,No,Basic,College,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Personal Auto,Personal L2,Offer2,Agent,606.6424519999998,Four-Door Car,Small,0,No,0.005458376683352861
Oregon,No,Extended,College,Employed,F,97732,Urban,Married,79,0,70,0,2,Personal Auto,Personal L3,Offer4,Branch,289.9122,Four-Door Car,Medsize,1,Yes,0.9959273513086234
Arizona,No,Extended,Bachelor,Employed,F,61222,Urban,Single,89,20,55,0,2,Special Auto,Special L3,Offer3,Branch,392.604371,Four-Door Car,Small,1,Yes,0.99597362565507
Oregon,No,Basic,College,Unemployed,M,0,Suburban,Single,74,7,20,0,1,Personal Auto,Personal L1,Offer4,Web,721.242206,Two-Door Car,Large,0,No,0.00734309316252658
Arizona,No,Premium,Master,Employed,M,50335,Urban,Married,140,9,54,0,1,Personal Auto,Personal L2,Offer1,Call Center,456.52385,SUV,Medsize,1,Yes,0.9849161384956088
California,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,127,30,11,0,6,Personal Auto,Personal L2,Offer3,Branch,1087.995426,Sports Car,Medsize,1,Yes,0.9940565474277644
