location_state,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,high_value,probability_high_value,Campaign_A
Oregon,Yes,Basic,Master,Employed,M,79751,Suburban,Married,63,15,67,0,1,Personal Auto,Personal L3,Offer3,Web,392.235698,Two-Door Car,Small,0,0.0,No
Oregon,Yes,Basic,Master,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,1,0.4434347728503613,Yes
Arizona,No,Extended,High School or Below,Employed,M,82189,Urban,Divorced,94,20,17,0,1,Personal Auto,Personal L3,Offer2,Web,354.081091,Two-Door Car,Medsize,0,0.0,No
Washington,No,Basic,Bachelor,Employed,F,83761,Suburban,Divorced,111,1,34,0,5,Personal Auto,Personal L2,Offer1,Agent,532.8,SUV,Medsize,1,0.5133287617203884,Yes
California,Yes,Basic,High School or Below,Retired,F,25147,Suburban,Single,101,7,54,0,1,Personal Auto,Personal L2,Offer1,Agent,694.598288,SUV,Medsize,0,0.0,No
Oregon,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,62,25,98,0,3,Personal Auto,Personal L1,Offer1,Call Center,446.4,Two-Door Car,Medsize,0,0.0,No
Arizona,No,Extended,Bachelor,Employed,M,43543,Urban,Married,76,11,62,0,8,Personal Auto,Personal L3,Offer1,Call Center,339.255348,Two-Door Car,Medsize,1,0.514343764362486,Yes
Oregon,No,Premium,High School or Below,Employed,M,61374,Rural,Married,113,5,27,0,3,Corporate Auto,Corporate L1,Offer2,Call Center,210.100003,Two-Door Car,Medsize,1,0.5155184942692028,Yes
Arizona,No,Extended,Bachelor,Employed,M,32869,Rural,Married,85,4,49,0,2,Corporate Auto,Corporate L2,Offer1,Web,117.467331,Two-Door Car,Large,1,0.5158704201936679,Yes
Oregon,No,Basic,College,Unemployed,F,0,Suburban,Married,72,18,91,0,9,Personal Auto,Personal L3,Offer1,Branch,345.6,Two-Door Car,Medsize,1,0.4709656361959672,Yes
California,No,Premium,High School or Below,Employed,F,65103,Suburban,Married,115,29,41,4,3,Personal Auto,Personal L3,Offer2,Branch,552.0,Four-Door Car,Small,1,0.5149264866681076,Yes
California,No,Basic,Bachelor,Employed,M,38925,Rural,Divorced,112,10,48,0,1,Personal Auto,Personal L1,Offer3,Agent,241.304377,Sports Car,Medsize,0,0.0,No
Oregon,No,Basic,High School or Below,Employed,M,75741,Rural,Married,109,31,59,0,7,Corporate Auto,Corporate L3,Offer3,Agent,217.188864,SUV,Small,1,0.5152838185611146,Yes
Washington,No,Basic,Bachelor,Employed,F,64997,Suburban,Single,63,7,99,1,1,Personal Auto,Personal L3,Offer2,Agent,383.442328,Four-Door Car,Small,0,0.0,No
Nevada,No,Basic,High School or Below,Employed,M,79619,Urban,Married,71,3,34,3,6,Personal Auto,Personal L3,Offer2,Web,280.89705,Four-Door Car,Large,1,0.5049146386258194,Yes
California,No,Extended,Bachelor,Employed,M,79797,Rural,Divorced,84,27,46,0,1,Corporate Auto,Corporate L2,Offer4,Branch,31.755601,Two-Door Car,Medsize,0,0.0,No
Arizona,No,Basic,High School or Below,Employed,F,26173,Suburban,Single,68,2,10,1,9,Corporate Auto,Corporate L1,Offer2,Web,449.819671,Four-Door Car,Medsize,1,0.3515119215075524,Yes
California,No,Extended,College,Medical Leave,F,18814,Suburban,Single,122,20,94,0,3,Personal Auto,Personal L2,Offer2,Branch,585.6,Sports Car,Medsize,1,0.5154048822292406,Yes
California,No,Extended,College,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,Medsize,0,0.0,No
Oregon,Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,0,0.0,No
California,No,Extended,Bachelor,Disabled,M,11538,Suburban,Married,82,35,22,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,393.6,Four-Door Car,Medsize,1,0.5145648947469932,Yes
Washington,No,Premium,College,Employed,F,77311,Rural,Married,181,18,36,0,2,Personal Auto,Personal L1,Offer1,Agent,113.609508,SUV,Medsize,1,0.5175208129343716,Yes
Oregon,No,Extended,High School or Below,Employed,F,98235,Urban,Divorced,93,21,68,0,8,Personal Auto,Personal L1,Offer2,Agent,377.422029,Four-Door Car,Medsize,1,0.5147222504441819,Yes
Oregon,No,Basic,College,Unemployed,F,0,Rural,Divorced,64,18,59,0,2,Personal Auto,Personal L3,Offer1,Agent,40.44586,Two-Door Car,Medsize,1,0.5090405239989892,Yes
Oregon,Yes,Basic,High School or Below,Retired,M,20228,Suburban,Divorced,101,3,43,1,2,Personal Auto,Personal L3,Offer1,Branch,523.815839,SUV,Medsize,1,0.5159999059548508,Yes
Oregon,No,Premium,Bachelor,Employed,F,27778,Suburban,Divorced,109,30,14,0,2,Personal Auto,Personal L3,Offer1,Agent,523.2,Four-Door Car,Large,1,0.5158713026033356,Yes
Arizona,No,Basic,High School or Below,Employed,M,45360,Suburban,Divorced,73,16,71,0,1,Corporate Auto,Corporate L1,Offer2,Branch,350.4,Four-Door Car,Medsize,0,0.0,No
Washington,No,Basic,College,Unemployed,M,0,Suburban,Single,64,0,60,3,4,Special Auto,Special L3,Offer1,Branch,759.285255,Two-Door Car,Medsize,0,0.0,No
California,Yes,Basic,High School or Below,Employed,F,58577,Urban,Married,110,6,62,0,1,Personal Auto,Personal L3,Offer1,Agent,303.872752,SUV,Medsize,0,0.0,No
California,Yes,Basic,Bachelor,Employed,F,79090,Urban,Married,107,2,74,0,3,Personal Auto,Personal L3,Offer2,Branch,289.040734,SUV,Medsize,1,0.5151328063762368,Yes
California,No,Basic,Bachelor,Medical Leave,F,17449,Urban,Divorced,71,16,55,0,2,Corporate Auto,Corporate L1,Offer3,Agent,268.676912,Four-Door Car,Medsize,1,0.5136306226489592,Yes
Oregon,Yes,Extended,Bachelor,Medical Leave,F,13037,Suburban,Married,124,28,49,0,1,Personal Auto,Personal L1,Offer2,Agent,839.348464,SUV,Small,0,0.0,No
California,No,Basic,College,Unemployed,M,0,Suburban,Single,69,31,69,2,2,Personal Auto,Personal L3,Offer1,Web,496.8,Four-Door Car,Medsize,1,0.5073151673194284,Yes
California,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,72,6,13,2,7,Personal Auto,Personal L3,Offer1,Branch,594.6837519999998,Four-Door Car,Medsize,1,0.0,Yes
Oregon,Yes,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Special Auto,Special L2,Offer1,Agent,511.2,Four-Door Car,Medsize,1,0.5121252331526368,Yes
California,No,Extended,College,Employed,M,21941,Suburban,Married,96,34,3,0,3,Personal Auto,Personal L2,Offer3,Branch,691.2,Four-Door Car,Large,1,0.5158540405598121,Yes
Oregon,No,Basic,Doctor,Employed,M,25381,Suburban,Single,71,22,62,0,2,Personal Auto,Personal L2,Offer2,Branch,340.8,Four-Door Car,Medsize,1,0.5145881813826121,Yes
California,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,129,23,59,0,2,Personal Auto,Personal L3,Offer1,Call Center,1191.319334,SUV,Medsize,1,0.5162759826058481,Yes
Nevada,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,105,0,16,0,4,Corporate Auto,Corporate L3,Offer2,Agent,504.0,SUV,Small,1,0.5128983654747106,Yes
Arizona,No,Extended,Doctor,Employed,M,71255,Rural,Single,138,28,16,0,4,Personal Auto,Personal L1,Offer1,Agent,138.633681,Sports Car,Medsize,1,0.5164634687802528,Yes
Nevada,No,Premium,Master,Employed,M,67541,Rural,Married,104,10,45,0,6,Personal Auto,Personal L3,Offer4,Agent,203.886869,Four-Door Car,Medsize,1,0.5124374323332193,Yes
Oregon,No,Basic,Bachelor,Employed,M,61225,Urban,Married,117,3,0,0,2,Personal Auto,Personal L3,Offer2,Call Center,442.374873,SUV,Small,1,0.5153035183989673,Yes
California,No,Extended,High School or Below,Disabled,F,19245,Suburban,Single,84,5,61,1,2,Personal Auto,Personal L3,Offer2,Agent,604.8,Four-Door Car,Small,1,0.5154821190487037,Yes
Arizona,No,Premium,High School or Below,Unemployed,F,0,Suburban,Married,108,2,55,1,1,Personal Auto,Personal L3,Offer3,Branch,525.392239,Two-Door Car,Large,0,0.0,No
Oregon,No,Extended,Master,Unemployed,F,0,Urban,Married,99,5,68,1,1,Corporate Auto,Corporate L2,Offer1,Agent,378.261483,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,Bachelor,Employed,F,32802,Suburban,Married,114,31,8,0,1,Personal Auto,Personal L1,Offer2,Call Center,547.2,SUV,Medsize,0,0.0,No
Nevada,Yes,Basic,Bachelor,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal Auto,Personal L2,Offer2,Agent,284.000172,Four-Door Car,Medsize,1,0.5149649791870065,Yes
Washington,Yes,Basic,Master,Employed,F,97131,Suburban,Married,64,5,80,0,6,Personal Auto,Personal L1,Offer2,Agent,307.2,Four-Door Car,Small,1,0.5020531540112132,Yes
Oregon,Yes,Basic,Bachelor,Employed,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L1,Offer3,Agent,86.46158199999998,Four-Door Car,Medsize,1,0.5151439732109084,Yes
Oregon,No,Basic,High School or Below,Employed,M,69247,Urban,Married,61,12,64,1,3,Corporate Auto,Corporate L3,Offer4,Agent,226.522147,Two-Door Car,Medsize,0,0.0,No
Washington,Yes,Basic,College,Employed,M,60920,Urban,Single,64,10,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,1,0.5149865741046684,Yes
Nevada,No,Basic,College,Employed,F,40516,Suburban,Divorced,70,9,75,0,1,Personal Auto,Personal L2,Offer3,Agent,336.0,Four-Door Car,Small,0,0.0,No
Oregon,No,Extended,College,Employed,M,61709,Urban,Married,82,5,41,2,7,Personal Auto,Personal L3,Offer3,Branch,275.395894,Four-Door Car,Medsize,1,0.5154473342954978,Yes
Washington,No,Basic,Bachelor,Disabled,F,29633,Urban,Married,196,26,57,0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,1,0.5068015485586056,Yes
California,Yes,Basic,Bachelor,Employed,M,82664,Rural,Married,114,24,10,3,9,Personal Auto,Personal L3,Offer2,Agent,133.425609,SUV,Medsize,1,0.5089866570020812,Yes
California,No,Basic,Bachelor,Unemployed,F,0,Suburban,Married,67,3,42,1,1,Corporate Auto,Corporate L3,Offer2,Web,426.006858,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,Master,Employed,F,33462,Rural,Married,72,12,9,0,1,Personal Auto,Personal L3,Offer2,Branch,112.425578,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,Master,Employed,M,26990,Urban,Married,65,9,60,1,2,Personal Auto,Personal L1,Offer3,Agent,297.864823,Four-Door Car,Medsize,1,0.5150655620350946,Yes
California,No,Extended,College,Unemployed,M,0,Suburban,Married,90,33,75,0,2,Corporate Auto,Corporate L1,Offer1,Call Center,432.0,Four-Door Car,Large,1,0.5157127797598878,Yes
Arizona,No,Basic,Master,Employed,M,62277,Rural,Single,113,9,68,0,8,Corporate Auto,Corporate L3,Offer3,Call Center,249.799752,SUV,Medsize,1,0.5134530786856638,Yes
Oregon,No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,85,25,24,0,6,Personal Auto,Personal L2,Offer2,Web,612.0,Four-Door Car,Medsize,1,0.5119050228027744,Yes
California,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,68,3,5,0,5,Corporate Auto,Corporate L3,Offer1,Agent,356.08323,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,High School or Below,Employed,M,27782,Suburban,Married,103,20,54,0,1,Personal Auto,Personal L3,Offer2,Agent,517.1008870000002,SUV,Small,0,0.0,No
California,No,Basic,College,Employed,F,29932,Suburban,Married,64,34,5,0,2,Personal Auto,Personal L2,Offer1,Branch,319.710124,Two-Door Car,Medsize,1,0.5147813936600388,Yes
California,Yes,Basic,Master,Employed,F,34990,Rural,Single,65,23,73,0,1,Personal Auto,Personal L3,Offer2,Web,42.689135,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,Bachelor,Employed,M,72149,Rural,Married,101,18,43,0,6,Personal Auto,Personal L2,Offer2,Call Center,69.31016600000001,SUV,Medsize,1,0.5121989182483008,Yes
Arizona,No,Basic,Bachelor,Employed,M,49530,Urban,Married,63,8,64,0,2,Personal Auto,Personal L1,Offer2,Web,278.24204,Four-Door Car,Medsize,1,0.5122839074838096,Yes
Oregon,No,Basic,College,Employed,M,22354,Suburban,Married,118,27,9,0,2,Personal Auto,Personal L1,Offer1,Call Center,775.526054,SUV,Small,1,0.515845859801162,Yes
Washington,No,Basic,College,Employed,M,55800,Suburban,Married,66,12,91,0,2,Personal Auto,Personal L3,Offer4,Agent,473.324671,Two-Door Car,Medsize,1,0.5143485099444568,Yes
Arizona,No,Basic,Bachelor,Employed,F,21359,Suburban,Married,101,25,5,0,1,Personal Auto,Personal L3,Offer4,Agent,484.8,Sports Car,Medsize,0,0.0,No
Oregon,No,Extended,Bachelor,Unemployed,F,0,Urban,Married,98,27,47,0,1,Personal Auto,Personal L3,Offer2,Web,310.842085,Four-Door Car,Medsize,0,0.0,No
California,No,Premium,College,Employed,M,30763,Suburban,Single,111,28,19,0,2,Personal Auto,Personal L1,Offer1,Agent,1072.532443,Four-Door Car,Medsize,1,0.5158713026033356,Yes
Washington,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,69,17,10,0,2,Personal Auto,Personal L3,Offer4,Call Center,496.8,Two-Door Car,Medsize,1,0.5056647159981402,Yes
California,Yes,Extended,College,Employed,F,70263,Rural,Married,93,30,66,0,5,Personal Auto,Personal L2,Offer2,Call Center,7.345946,Two-Door Car,Small,1,0.5121450348689721,Yes
Oregon,No,Basic,High School or Below,Employed,M,23046,Rural,Married,65,18,7,3,2,Personal Auto,Personal L3,Offer4,Branch,1.687291,Two-Door Car,Large,1,0.5098791667438328,Yes
Oregon,No,Extended,Bachelor,Unemployed,F,0,Suburban,Married,86,30,32,0,2,Personal Auto,Personal L3,Offer1,Call Center,412.8,Four-Door Car,Medsize,1,0.5157628455203492,Yes
California,Yes,Premium,High School or Below,Employed,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Medsize,1,0.5158586396197876,Yes
Oregon,No,Basic,Bachelor,Employed,F,29853,Rural,Single,69,8,36,0,6,Personal Auto,Personal L2,Offer1,Agent,76.58601800000002,Four-Door Car,Medsize,1,0.4867963031048512,Yes
California,No,Basic,College,Employed,F,30110,Rural,Married,64,2,4,0,5,Personal Auto,Personal L1,Offer1,Web,140.16503500000002,Four-Door Car,Medsize,1,0.3997230124874284,Yes
Oregon,No,Basic,College,Employed,F,61146,Urban,Married,65,7,68,0,6,Personal Auto,Personal L3,Offer2,Branch,273.018929,Four-Door Car,Medsize,1,0.5017771943031042,Yes
Oregon,No,Basic,College,Medical Leave,F,27677,Suburban,Married,72,10,82,1,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,1,0.4994826254425439,Yes
Oregon,No,Basic,Bachelor,Employed,M,95733,Suburban,Married,72,19,82,0,3,Corporate Auto,Corporate L3,Offer1,Agent,475.423848,Two-Door Car,Small,1,0.5127051025916642,Yes
Nevada,No,Basic,College,Employed,F,29730,Suburban,Married,72,1,76,0,3,Personal Auto,Personal L1,Offer3,Branch,463.21435,Four-Door Car,Medsize,1,0.5106389188122488,Yes
Oregon,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,65,34,27,0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,1,0.5086905116878356,Yes
Oregon,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,89,25,39,1,7,Special Auto,Special L2,Offer1,Call Center,942.277602,Two-Door Car,Large,1,0.5151851232536216,Yes
Oregon,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,68,4,67,0,9,Corporate Auto,Corporate L1,Offer1,Agent,489.6,Four-Door Car,Small,0,0.0,No
Arizona,No,Basic,Doctor,Unemployed,F,0,Suburban,Divorced,112,3,51,2,1,Personal Auto,Personal L2,Offer1,Agent,537.6,SUV,Medsize,0,0.0,No
Oregon,No,Basic,Bachelor,Employed,M,70200,Suburban,Divorced,65,25,10,0,2,Corporate Auto,Corporate L3,Offer2,Agent,312.0,Four-Door Car,Medsize,1,0.5147671635689456,Yes
California,No,Extended,College,Employed,M,45587,Urban,Divorced,81,8,49,5,1,Personal Auto,Personal L3,Offer3,Agent,380.595522,Four-Door Car,Medsize,0,0.0,No
California,Yes,Extended,College,Employed,F,70263,Rural,Married,93,30,66,0,5,Corporate Auto,Corporate L2,Offer2,Call Center,7.345946,Two-Door Car,Small,1,0.5121450348689721,Yes
California,No,Premium,Bachelor,Unemployed,F,0,Suburban,Married,115,12,17,1,2,Personal Auto,Personal L2,Offer1,Agent,552.0,Four-Door Car,Medsize,1,0.5157014630514842,Yes
Oregon,No,Extended,Doctor,Employed,F,75716,Rural,Single,247,2,32,0,1,Personal Auto,Personal L3,Offer1,Branch,562.088587,Luxury Car,Medsize,1,0.5105149495511965,Yes
Oregon,Yes,Basic,College,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Corporate Auto,Corporate L3,Offer1,Agent,350.4,Two-Door Car,Medsize,1,0.5125298579898908,Yes
Arizona,No,Premium,College,Unemployed,M,0,Suburban,Married,107,21,65,0,1,Personal Auto,Personal L3,Offer2,Agent,513.6,Four-Door Car,Medsize,0,0.0,No
Arizona,No,Basic,Bachelor,Employed,M,79065,Urban,Married,69,13,24,0,1,Corporate Auto,Corporate L2,Offer2,Web,290.886242,Four-Door Car,Medsize,0,0.0,No
Nevada,No,Extended,College,Employed,M,59644,Suburban,Married,79,15,94,0,1,Corporate Auto,Corporate L3,Offer1,Agent,379.2,Four-Door Car,Medsize,0,0.0,No
California,No,Extended,College,Employed,M,84822,Urban,Married,76,5,13,0,5,Corporate Auto,Corporate L3,Offer1,Agent,219.879452,Four-Door Car,Medsize,1,0.5137468610365105,Yes
Oregon,No,Basic,College,Unemployed,F,0,Suburban,Single,112,7,34,1,1,Special Auto,Special L1,Offer1,Agent,806.4,Sports Car,Medsize,0,0.0,No
Nevada,Yes,Extended,High School or Below,Unemployed,M,0,Suburban,Single,79,21,53,1,7,Corporate Auto,Corporate L2,Offer1,Agent,407.440238,Two-Door Car,Medsize,1,0.4975279557168493,Yes
California,Yes,Premium,High School or Below,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Corporate Auto,Corporate L3,Offer1,Agent,1324.8,Luxury SUV,Medsize,1,0.5140693277515448,Yes
Oregon,No,Extended,College,Employed,M,56263,Suburban,Married,93,27,31,0,2,Corporate Auto,Corporate L3,Offer2,Agent,446.4,Four-Door Car,Medsize,1,0.5153834438744141,Yes
Arizona,No,Basic,College,Employed,M,30855,Urban,Married,68,7,15,0,7,Corporate Auto,Corporate L3,Offer2,Web,259.060862,Four-Door Car,Medsize,1,0.5019110613623432,Yes
California,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,85,5,15,1,2,Personal Auto,Personal L2,Offer2,Agent,612.0,Four-Door Car,Medsize,1,0.5153397098019517,Yes
Oregon,No,Basic,High School or Below,Employed,F,29734,Suburban,Divorced,63,12,86,0,2,Corporate Auto,Corporate L2,Offer4,Web,649.83837,Two-Door Car,Medsize,1,0.5102707903612949,Yes
California,Yes,Basic,High School or Below,Employed,F,20090,Suburban,Married,109,10,59,0,2,Personal Auto,Personal L2,Offer2,Agent,523.2,Sports Car,Medsize,1,0.5151273952439621,Yes
Oregon,No,Extended,College,Employed,M,90414,Suburban,Married,83,7,49,1,6,Personal Auto,Personal L2,Offer1,Call Center,398.4,Four-Door Car,Small,1,0.5130335695966486,Yes
Oregon,No,Basic,Master,Employed,F,42142,Urban,Single,112,1,8,0,3,Personal Auto,Personal L3,Offer4,Branch,396.17554,Sports Car,Medsize,1,0.5115502515894236,Yes
Oregon,No,Extended,Bachelor,Employed,M,68658,Urban,Single,77,7,60,0,8,Personal Auto,Personal L1,Offer2,Branch,296.261405,Two-Door Car,Medsize,1,0.51420877946133,Yes
Arizona,No,Extended,High School or Below,Employed,F,97030,Suburban,Married,76,14,24,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,416.63749900000005,Four-Door Car,Small,1,0.5153020031234841,Yes
Arizona,No,Basic,High School or Below,Employed,M,36881,Suburban,Married,104,5,25,0,3,Special Auto,Special L3,Offer1,Agent,499.2,SUV,Medsize,1,0.5154535272357404,Yes
California,No,Basic,Bachelor,Employed,M,28181,Suburban,Married,109,32,41,0,3,Personal Auto,Personal L2,Offer3,Call Center,523.2,SUV,Medsize,1,0.5152239178128121,Yes
Washington,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,66,17,29,0,3,Personal Auto,Personal L1,Offer1,Agent,470.57611900000006,Four-Door Car,Small,0,0.0,No
California,Yes,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Corporate L1,Offer1,Web,508.8,SUV,Medsize,1,0.515845859801162,Yes
California,No,Extended,High School or Below,Employed,M,31708,Suburban,Single,94,3,43,1,1,Personal Auto,Personal L1,Offer1,Agent,451.2,Two-Door Car,Medsize,0,0.0,No
Arizona,No,Extended,College,Unemployed,F,0,Suburban,Married,84,19,26,2,4,Personal Auto,Personal L2,Offer1,Branch,403.2,Four-Door Car,Medsize,1,0.5134750928390832,Yes
Oregon,No,Basic,Bachelor,Employed,M,44524,Urban,Married,70,28,42,0,2,Personal Auto,Personal L3,Offer4,Web,200.768848,Four-Door Car,Medsize,1,0.5146445874472492,Yes
California,No,Basic,College,Employed,F,52389,Suburban,Married,72,29,8,1,9,Personal Auto,Personal L3,Offer1,Agent,345.6,Four-Door Car,Medsize,1,0.5079774866104579,Yes
Arizona,No,Extended,High School or Below,Employed,F,84869,Suburban,Married,85,5,65,0,4,Corporate Auto,Corporate L2,Offer2,Web,408.0,Four-Door Car,Medsize,1,0.5149939030317248,Yes
Washington,No,Premium,Doctor,Employed,F,69205,Urban,Married,110,20,56,0,6,Personal Auto,Personal L3,Offer2,Web,372.362565,Four-Door Car,Medsize,1,0.5124201234713704,Yes
Arizona,No,Basic,Master,Employed,F,48927,Rural,Divorced,72,1,51,0,9,Personal Auto,Personal L2,Offer1,Agent,139.354893,Four-Door Car,Medsize,1,0.5040933802520552,Yes
California,No,Basic,High School or Below,Employed,M,72109,Suburban,Married,105,31,34,0,2,Personal Auto,Personal L3,Offer2,Web,504.0,Sports Car,Medsize,1,0.515257197907477,Yes
California,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,71,17,22,0,1,Corporate Auto,Corporate L2,Offer1,Agent,340.8,Four-Door Car,Medsize,0,0.0,No
California,No,Basic,College,Employed,F,24186,Suburban,Single,64,8,11,0,1,Personal Auto,Personal L2,Offer2,Agent,307.2,Four-Door Car,Medsize,0,0.0,No
Oregon,No,Extended,College,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small,1,0.5154462057276162,Yes
Oregon,No,Basic,College,Employed,F,50631,Suburban,Married,112,19,12,4,2,Special Auto,Special L1,Offer2,Agent,784.6578099999997,SUV,Medsize,1,0.5153560007296633,Yes
California,No,Basic,College,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Small,0,0.0,No
Oregon,No,Extended,Bachelor,Disabled,M,17103,Suburban,Married,87,24,29,0,2,Personal Auto,Personal L3,Offer1,Branch,417.6,Two-Door Car,Small,1,0.5159872930042362,Yes
Oregon,No,Premium,College,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small,1,0.5153875665894582,Yes
Washington,No,Premium,High School or Below,Unemployed,F,0,Suburban,Married,106,11,15,0,6,Special Auto,Special L2,Offer1,Web,603.0581139999998,Four-Door Car,Large,1,0.5121553215421394,Yes
Washington,No,Basic,Master,Employed,M,30376,Suburban,Single,66,26,16,0,6,Personal Auto,Personal L1,Offer1,Web,316.8,Four-Door Car,Small,1,0.4336914209503764,Yes
Oregon,No,Basic,Bachelor,Employed,F,52785,Rural,Married,61,2,90,0,1,Corporate Auto,Corporate L1,Offer2,Agent,45.721456,Two-Door Car,Medsize,0,0.0,No
