loan_amnt,int_rate,annual_inc,dti,fico_range_low,total_acc,acc_open_past_24mths,probability_fully_paid
5000,12.39,43000,18.65,675,20,4,0.870038931670733
11850,9.49,40000,24.81,740,18,2,0.888726288024808
3525,18.54,63984,27.36,705,8,4,0.889859459965952
8325,11.44,40000,20.98,695,12,3,0.88968856464786
35000,12.39,160000,6.32,685,14,2,0.888596639535735
9000,13.66,58000,10.76,660,25,5,0.869534206419441
3750,11.44,47200,15.56,675,25,6,0.891035897262152
13500,8.67,82000,12.81,695,24,2,0.892346480154606
14000,9.49,73000,6.94,670,23,2,0.890748034164492
16400,12.39,105000,10.54,680,36,9,0.865860798730878
20000,15.59,50000,16.47,660,12,6,0.832781947327566
2850,12.99,30371,12.02,665,14,0,0.879023844037205
4000,8.19,24000,10,685,13,3,0.888060109211714
10000,12.39,62000,20.44,670,30,2,0.854795021351323
15850,15.59,44200,16.56,660,36,10,0.793984351917504
3000,13.66,50000,13.66,690,19,5,0.865677847796697
7500,15.99,68000,7.04,675,10,5,0.874186115385019
9000,15.99,40000,27.23,670,17,10,0.853453835722899
2000,15.59,70000,15.05,665,17,9,0.864108136331701
24000,6.03,120000,19.94,720,26,0,0.896911491244377
5000,16.49,18868.8,26.66,680,13,9,0.87285087564743
17000,12.39,46300,5.81,665,4,3,0.887157526398018
12000,8.19,75000,9.68,705,42,6,0.887908577498904
5000,6.03,50000,9.84,785,15,1,0.896213859252497
14000,6.49,58792,16.33,725,9,1,0.896911491244377
19500,15.59,62000,22.18,680,22,2,0.799648059371187
19150,19.24,60000,13.12,700,41,5,0.830780697941822
10000,11.99,70000,19.37,665,17,8,0.867077133807463
7000,6.99,75000,3.12,730,24,1,0.895826564431621
24000,14.31,80000,16.77,690,24,3,0.856713032715411
15000,6.99,75000,13.57,700,31,6,0.887908577498904
7000,14.99,80000,15.14,675,32,6,0.867267037874045
12000,12.99,62000,5.18,680,9,2,0.884392560631496
20000,16.49,70000,21.19,675,15,4,0.881220593595202
4000,15.99,50000,21.97,685,16,12,0.888825126886792
2000,14.31,42000,29.37,680,18,3,0.896138727319148
3000,15.59,45000,14.53,670,25,12,0.883513387330835
19200,11.44,94000,24.63,665,30,10,0.877503197960047
12800,12.99,51000,12.75,665,14,5,0.867680707126932
3500,11.44,39500,14.71,730,30,7,0.890780427547615
2000,12.39,26000,13.43,680,20,1,0.881856370545039
16150,18.54,47500,39.21,710,14,4,0.874938117069728
3075,18.54,24000,33.7,700,13,2,0.889747476952687
7175,16.49,20000,14.71,690,9,2,0.821775593291025
18000,13.66,96000,14.28,685,22,6,0.862462266996964
10000,6.99,45500,25.96,705,26,4,0.878501049273108
24000,17.86,78000,17.65,670,19,6,0.866583811632568
35000,14.99,160000,30.07,685,58,9,0.879104995811858
10000,12.39,40000,17.83,675,22,12,0.866436712377277
22500,8.19,130000,13.46,675,31,7,0.892588783079379
6000,12.39,93000,16.49,715,31,1,0.886206061057317
2000,12.99,60000,17.2,675,17,4,0.894881056601797
2500,12.99,66000,21.74,660,27,5,0.842130567700501
5500,6.99,58000,23.17,725,20,1,0.890430649903627
9600,14.99,47000,4.16,660,5,3,0.887962339923312
12000,7.49,80000,11.57,715,34,4,0.896911491244377
6000,12.39,66000,26.49,675,32,6,0.869693048177443
35000,8.19,148000,5.12,735,24,4,0.896911491244377
15000,11.44,46000,26.77,685,17,3,0.877422491045299
12000,11.99,68200,17.75,725,14,1,0.888006173793882
4000,11.99,125000,11.55,695,17,2,0.874883387451575
13475,17.86,45000,17.07,670,31,6,0.79242087109312
14000,10.49,47207,27.13,675,34,11,0.871313348291803
2600,7.49,60000,9.56,750,22,1,0.895826564431621
11500,10.49,40000,25.17,700,10,2,0.877422491045299
20000,8.67,60000,27.76,705,41,11,0.877005069274652
7675,14.31,26880,22.59,670,15,1,0.761392122411369
7000,14.99,20000,6.78,715,5,0,0.856066398012714
9000,12.99,50000,37.25,660,26,3,0.861196492412199
7500,12.39,75132,6.01,765,8,2,0.888148053676469
6000,12.39,38000,8.39,665,8,4,0.871453423499067
4800,14.31,28500,7.12,670,9,0,0.80290931687734
19000,12.39,67000,12.93,665,36,6,0.855574177376885
20000,6.03,203000,19.61,715,18,4,0.896911491244377
5000,13.66,36000,30.03,700,22,2,0.884563629383063
13400,13.66,32000,27.79,670,15,2,0.862688782599428
10000,12.39,98000,11.56,685,24,2,0.859657876460047
2000,14.99,21600,18.78,675,26,1,0.879493299448862
6000,12.99,23000,8.82,660,25,3,0.848273068540389
4000,10.49,40000,12.45,660,24,4,0.891206410493484
12000,11.99,75000,5.87,705,11,5,0.88188471717501
3000,15.59,60000,28.58,665,24,6,0.850560981490936
20000,11.44,65000,27.88,685,21,5,0.876732466792322
15000,11.44,580000,2.12,755,10,1,0.896911491244377
2000,12.39,65000,29.86,695,19,2,0.89574453201304
7000,12.99,35000,22.94,705,14,1,0.882372044854675
19425,16.49,67000,37.54,685,53,8,0.821803805516867
11200,12.99,90226,29.82,685,51,9,0.864676505048078
3500,11.99,48000,10.65,740,35,9,0.887706154516407
22000,11.44,60000,13.24,695,10,1,0.892346480154606
12000,13.66,35000,7.82,720,9,3,0.885769039943699
3000,16.49,30000,35.52,670,42,3,0.83796832557112
6500,14.31,44000,29.35,710,11,7,0.875873167364961
6725,10.49,19164,9.97,710,27,6,0.869296215434177
6400,13.66,69500,13.66,675,36,5,0.867267037874045
5000,12.39,84000,27.76,695,34,6,0.885570822818923
35000,8.67,85000,18.75,695,16,1,0.892346480154606
10000,8.67,75000,21.74,705,22,2,0.890111212975128
5700,7.49,63000,14.53,695,22,4,0.892624394732787
10000,9.49,40000,16.8,715,7,3,0.895490590069261
12000,12.39,80000,15.54,680,26,2,0.860796156201837
2500,8.67,75000,12.98,665,28,2,0.890994495480013
8000,10.49,32000,8.89,755,14,2,0.894588806279814
12000,8.67,64000,31.56,670,48,5,0.869318013130273
1000,14.31,95000,23.31,680,44,8,0.891890429928432
7000,11.99,100000,33.03,675,35,7,0.866519040016109
12000,12.39,95000,24.25,660,38,4,0.834340687130517
6000,9.49,115000,4.82,710,11,2,0.891035897262152
7000,8.19,35000,16.91,660,23,5,0.887779963324671
21000,9.49,46000,15.45,665,29,2,0.890960592023159
1500,6.99,65000,12.17,710,13,1,0.891035897262152
6000,6.49,65000,19.89,800,32,2,0.895826564431621
12000,8.67,54000,15.2,670,12,1,0.891186285868082
15000,12.99,48000,23.08,670,18,5,0.829928906203818
13000,8.67,80000,14.12,660,26,3,0.891159140744567
5000,12.99,26880,29.21,660,18,7,0.765378310589485
12000,9.49,40221,23.9,665,53,7,0.879625288286974
35000,8.67,105000,17.09,730,61,6,0.896911491244377
11875,14.31,55000,26.23,660,46,16,0.858814659146634
10000,9.49,37000,18.78,685,14,0,0.88968856464786
15000,11.99,100000,15.8,730,12,5,0.886860446330118
25000,12.39,98500,8.93,695,13,2,0.882432200515267
28000,8.19,275000,12.43,695,47,3,0.892588783079379
5000,10.49,93685,6.7,660,36,8,0.88629674594848
10000,12.39,60000,17.29,665,13,3,0.867680707126932
20725,14.99,47380,32.67,715,25,8,0.8659831832918
15000,14.99,80000,18.92,690,21,4,0.861430905300743
4000,8.19,45000,14.13,685,41,6,0.883509904087151
15000,12.39,56000,20.19,660,31,13,0.85280363108487
10400,11.99,34000,23.27,720,12,1,0.875426731671354
6600,8.67,50000,16.42,700,31,4,0.892762008890406
7150,17.14,30000,9.52,660,14,8,0.878097435187638
1375,17.86,18000,28.2,665,29,2,0.823700872340157
9650,17.14,40000,16.68,670,14,4,0.845179565847016
16000,7.49,45000,18.57,715,10,2,0.895685122802029
20000,10.49,85000,29.74,710,26,10,0.876732466792322
4000,11.44,95000,17.52,715,23,10,0.895826564431621
24000,12.99,120000,22.59,700,24,5,0.882002800630975
8000,6.03,60000,10.62,760,25,4,0.895826564431621
7500,6.49,40000,19.17,735,38,5,0.894588806279814
8500,12.39,30000,18.04,730,16,2,0.813611135377707
10000,12.39,35300,21.33,705,37,11,0.883281325341421
15000,11.44,99000,20.77,675,46,10,0.887525728475412
8700,10.49,50000,25.54,660,22,6,0.876203215088152
10500,8.67,42000,28,730,18,5,0.888726288024808
11000,11.44,70000,23.9,685,62,5,0.880141911328422
8000,12.39,45000,26.9,670,67,6,0.860875805027276
12000,8.67,88000,15.67,675,46,6,0.887525728475412
35000,14.31,140000,14.2,685,48,5,0.881465462011158
6000,8.19,90000,7.61,680,24,2,0.891035897262152
4500,8.67,52000,20.29,670,15,0,0.890219621624427
5000,6.03,79000,23.13,735,33,6,0.890024422329711
21000,8.67,108600,12.76,705,43,5,0.892588783079379
9725,15.59,137240,2.48,660,19,5,0.851345396342182
4800,15.59,23000,8.82,665,31,1,0.803531751488688
35000,8.67,216000,13.8,725,28,6,0.896911491244377
6075,15.99,125000,4.93,665,26,5,0.840041536213072
20000,11.99,85000,11,700,7,1,0.873484956516576
12000,7.49,80000,10.58,660,34,9,0.885164975634527
5000,8.67,73000,19.07,665,41,2,0.883870874762489
3075,10.49,55000,29.51,675,36,5,0.870940585553283
5000,12.39,107500,10.69,700,8,4,0.881887018444404
7475,24.99,25000,16.54,660,10,6,0.853118184858035
12000,6.99,83000,6.21,665,28,1,0.89172672423705
12000,13.66,69000,27.1,720,19,7,0.882801651200042
8000,6.99,42000,29.37,710,39,2,0.867924831883358
9225,15.59,27300,24.43,660,25,1,0.812242921298313
25000,15.59,82500,7.33,710,10,2,0.835385354258059
10300,7.49,50000,19.44,720,25,2,0.894588806279814
8000,7.49,93808,13.15,685,29,4,0.889954004137976
6000,8.19,61000,18.5,675,38,4,0.892762008890406
11200,12.99,47000,38.99,670,40,4,0.861037972544863
11200,11.44,50000,24.75,660,24,1,0.876203215088152
6000,12.39,35000,11.66,675,17,4,0.859985614225188
7000,8.67,59000,16.84,755,29,6,0.895826564431621
28000,7.49,145000,23.67,680,23,5,0.876732466792322
24000,8.19,60000,11.48,790,12,1,0.896911491244377
12000,6.99,110000,11.34,710,37,3,0.887908577498904
15000,6.49,115000,15.26,720,22,3,0.896911491244377
5000,6.49,25000,4.46,760,7,2,0.894588806279814
28000,7.49,137000,10.6,725,30,4,0.896911491244377
18000,9.49,160000,11.21,670,19,2,0.889750154133376
18000,8.67,51000,10.66,660,20,0,0.888713326926719
15900,15.59,36180,15.09,705,40,7,0.816180807394063
1000,15.99,21000,26.46,690,5,3,0.864394877762996
21000,11.99,85814,21.79,705,17,3,0.885591783715383
10000,10.49,57600,17.15,695,28,6,0.889941688364737
13225,17.86,39465,38.14,675,34,7,0.80102059124678
33000,12.39,100000,7.72,735,17,1,0.886197792746238
5000,8.19,35000,16.39,685,18,4,0.889884196286579
10000,8.67,50000,12.22,820,8,0,0.894588806279814
8500,7.49,55000,19.51,710,17,4,0.891544195796102
18000,7.49,95480,13.3,690,14,1,0.892346480154606
20000,8.67,55200,27.91,755,41,7,0.888726288024808
10000,6.03,40000,7.62,735,25,7,0.890780427547615
11750,15.59,68000,13.04,665,29,3,0.832143741913356
4200,11.44,22000,8.95,680,10,2,0.888060109211714
8000,13.66,70000,15.06,685,20,3,0.862802070879603
7000,6.03,35000,13.17,775,20,3,0.895490590069261
9800,11.44,52000,16.82,690,30,6,0.885027124277718
12000,6.49,40000,16.89,700,17,1,0.892515599208244
5375,18.54,53000,19.95,725,18,7,0.861993159789928
10000,6.99,42000,25.89,695,38,8,0.867102593866254
16800,9.49,83000,14.26,700,25,4,0.893918146366147
23800,14.99,55000,30.53,720,17,2,0.85644726500856
24000,11.99,115000,25.19,675,29,7,0.866626846358648
16000,8.19,58000,22.53,730,11,0,0.888726288024808
10225,15.99,76000,32.92,685,52,6,0.819815244411795
15000,11.99,52000,23.1,705,13,1,0.870972405914472
24000,6.03,225000,18.48,715,29,2,0.896911491244377
9600,11.44,65000,14.59,670,31,1,0.885618866226866
10000,6.03,65000,18.95,715,17,4,0.895826564431621
7400,13.66,31000,20.52,675,20,4,0.867329939119818
8000,8.19,90000,19.52,700,27,3,0.889941688364737
16000,11.44,59055,23.27,695,22,6,0.876732466792322
3000,8.67,73000,17.84,695,20,4,0.892624394732787
4000,9.49,70000,27.25,710,25,8,0.865446851480816
12000,15.59,72000,14.01,670,39,8,0.815817381526106
2500,7.49,32000,19.58,675,36,4,0.890024889644549
15000,9.49,60000,21.6,700,23,6,0.892346480154606
10000,6.03,85000,6.72,820,11,2,0.895826564431621
12000,14.31,43000,34.13,670,17,5,0.86086956221258
2500,6.99,105000,1.61,700,21,3,0.891035897262152
14400,14.99,64000,18.88,705,26,10,0.862098804551842
10000,8.67,45000,15.84,695,23,3,0.890149613629605
15000,12.99,69000,25.89,675,39,3,0.867094830495768
6000,10.49,100000,9.99,670,18,7,0.890799834962925
10000,7.49,225000,7.79,690,23,2,0.889482433851832
1500,10.49,78000,31.12,665,49,11,0.871269322752932
8475,15.99,25000,36.74,680,19,2,0.860987003950488
15000,6.49,58000,6.56,790,17,5,0.895685122802029
8000,11.44,280000,4.44,670,17,1,0.89113337555873
5000,16.49,28000,39.73,670,29,6,0.825187754338373
6500,12.39,43000,20.68,710,12,2,0.883457070645686
9600,8.19,80000,26.32,700,16,4,0.879182537674691
12000,6.49,100000,4.64,745,16,1,0.896911491244377
20000,13.66,92000,26.32,670,41,10,0.865178512632293
12000,6.03,60000,4.06,705,15,2,0.892346480154606
17000,8.19,66099,10.35,660,50,10,0.890437525769369
25000,6.03,190000,19.36,700,45,4,0.893959362308852
14400,11.99,88100,19.55,665,24,5,0.859909913057896
2000,13.66,34000,18.67,730,8,5,0.895675728564462
3600,9.49,88000,21.1,670,86,12,0.892629217221579
8000,6.03,22500,22.45,720,24,1,0.890430649903627
2800,15.99,60000,24.22,670,24,5,0.861155089212742
15000,11.99,81900,6.97,665,22,5,0.868459659702747
9600,8.67,46291,9.57,680,22,3,0.890149613629605
10000,6.49,55000,2.9,785,9,3,0.895490590069261
7050,19.99,52000,22.85,725,32,7,0.84091859021983
6000,6.49,130000,17.5,675,29,1,0.891035897262152
20000,10.49,310000,9.08,670,25,4,0.892196086991614
3000,12.99,50000,13.9,690,17,3,0.868969002977209
5875,16.49,75000,12.77,685,22,7,0.811686165862841
32000,12.39,70000,17.75,715,20,3,0.884856235312248
6600,8.19,65000,25.62,705,39,11,0.871524844663654
35000,14.31,86000,18.69,695,18,2,0.870373472672776
7000,13.66,60000,30.49,660,16,5,0.861196492412199
12000,11.99,34000,8.58,675,11,1,0.869323948241506
29000,17.86,77000,25.36,675,29,6,0.814357244377959
5000,11.99,185000,17.04,665,44,14,0.843249515756896
15000,8.67,56000,16.06,695,23,6,0.892346480154606
30000,8.67,122500,12.85,760,48,9,0.896911491244377
12000,13.66,115000,8.82,680,18,4,0.854503528943728
3600,9.49,112000,13.78,675,30,4,0.892762008890406
18000,6.99,82000,19.83,715,55,11,0.896911491244377
24000,6.99,82000,13.9,675,15,0,0.892346480154606
5000,11.99,64000,25.91,700,40,8,0.88408427980698
24000,6.03,84000,14.74,735,23,2,0.896911491244377
2000,8.67,23760,9.44,690,17,6,0.871659790683094
4800,15.59,80000,24.37,670,26,15,0.833841575537317
15000,11.99,45000,11.01,660,28,7,0.86864842668501
8000,9.49,96000,8.55,755,13,6,0.895826564431621
6000,13.66,48000,15.2,660,53,7,0.847070910645424
3500,10.49,120000,18.18,695,47,14,0.885637522619081
7000,13.66,38784,22.28,675,18,4,0.867040751793917
14000,6.49,100000,10.26,705,19,0,0.892346480154606
12000,8.19,49000,26.35,710,24,7,0.876732466792322
6000,13.66,50000,15.39,690,9,7,0.859737207833014
7000,8.19,35000,16.07,685,18,0,0.888260235361144
4000,10.49,35000,20.95,715,10,3,0.895490590069261
30275,15.99,68940,28.49,665,31,1,0.786570382417416
15000,20.99,54000,25.69,665,22,8,0.816465223022383
10000,6.49,96000,13.6,745,13,1,0.895826564431621
8000,12.99,86400,8.74,670,5,1,0.862727576590483
18000,12.39,99600,22.95,675,22,5,0.8589784661568
20000,11.44,80000,21.12,690,39,5,0.892588783079379
6500,6.03,63500,15.25,705,17,4,0.892624394732787
8000,11.44,47000,5.57,690,18,3,0.890149613629605
4500,8.67,55000,12.94,685,7,0,0.891442470853889
6400,12.99,55000,28.02,680,41,11,0.867442052072582
8000,9.49,43000,24.28,675,41,9,0.867924831883358
16575,17.86,41600,20.23,670,49,9,0.80104133469722
10000,13.66,95000,26.17,670,37,4,0.860118837076494
12000,10.49,70000,5.93,690,21,8,0.883136782935645
20000,13.66,67200,16.23,670,25,7,0.866130420146705
5000,6.49,38000,7.3,680,24,0,0.891035897262152
32100,14.99,70000,13.73,675,22,5,0.873298204948523
6000,10.49,146928,8.72,705,13,2,0.891035897262152
16750,19.24,40000,19.32,665,21,4,0.869808407364748
25925,6.99,160000,12.99,675,17,4,0.893918146366147
35000,10.49,80000,7.18,715,70,5,0.896911491244377
26000,9.49,100500,4.53,665,32,1,0.88629477699439
14000,11.44,60000,14.4,675,29,4,0.893918146366147
12000,9.49,60000,21.55,685,25,7,0.892346480154606
25000,11.99,110244,26.32,695,37,10,0.886659040916736
6000,6.03,90000,12.25,780,26,5,0.895826564431621
7000,8.67,116887,22.2,735,8,0,0.890024422329711
10000,11.99,60000,26.48,710,19,3,0.881432213626034
11075,11.44,32760,13.81,690,9,1,0.868745746379991
3600,12.99,150000,13.54,675,20,1,0.867242300754938
25000,8.19,60000,17.01,715,30,5,0.896911491244377
4000,12.39,50000,13.42,700,21,2,0.882456644519815
25325,19.24,70611,37.73,670,41,5,0.790132239689625
7200,14.99,65000,12.7,670,33,14,0.859156026373123
3000,8.67,22000,26.24,660,52,6,0.878822215578545
18000,12.99,62000,27.8,685,33,2,0.867461074653552
25000,6.03,200000,5.67,790,26,4,0.896911491244377
18000,7.49,99000,5.94,660,11,2,0.884459548872558
14000,8.67,263500,15.92,715,46,5,0.896911491244377
6500,11.99,33000,23.38,715,10,5,0.873643705289085
6500,11.44,34990,18.66,660,14,1,0.88588498680564
18300,8.19,82500,13.79,765,27,3,0.896911491244377
10000,12.39,65000,6.74,685,33,9,0.885505000522012
30000,7.49,105000,23.52,735,24,3,0.890024422329711
8000,8.19,65000,10.4,665,25,8,0.881684472214235
35000,12.99,153000,1.32,750,7,2,0.888863433463093
6450,13.66,45000,18.67,660,40,6,0.849279191952501
30000,10.49,250000,9.66,720,37,3,0.896911491244377
20400,6.49,85000,16.65,715,21,3,0.896911491244377
3800,11.99,140000,10.97,745,22,5,0.888244763398497
12950,14.31,60000,26.18,680,18,3,0.861691920951373
7150,6.49,89000,9.68,735,59,5,0.895826564431621
18625,15.99,52000,20.47,705,21,5,0.814920801404441
8000,7.49,24000,18,670,38,7,0.877269483467848
18750,12.99,52000,30.76,685,33,5,0.871436251745222
9600,10.49,78000,11.08,685,35,5,0.884770873083255
5000,8.19,38480,14.29,665,21,4,0.892160603135737
2000,14.99,75000,13.65,660,46,7,0.887610723733665
6400,15.59,49000,23.12,685,42,5,0.791835537458769
10000,16.49,40000,20.13,660,25,5,0.810992390212672
8000,15.59,43920,21.75,660,21,8,0.803490096214606
5000,6.49,125000,16.43,710,28,9,0.891035897262152
15000,6.99,150000,3.7,685,15,4,0.893918146366147
14000,6.99,80000,22.17,765,22,4,0.890024422329711
14000,13.66,60000,14.17,685,11,0,0.864444904518555
35000,10.49,125000,19.27,680,27,6,0.892346480154606
14000,14.31,40000,9.96,695,15,2,0.867257821443736
2000,9.49,100000,11.63,660,23,6,0.890994495480013
15000,11.44,90000,7.41,705,17,3,0.892346480154606
5000,12.99,54000,14.4,700,14,3,0.882823145961637
12000,8.67,45000,27.25,665,24,5,0.876203215088152
1000,15.59,40000,17.52,670,21,1,0.873183767514421
6000,11.99,135000,6.26,670,25,3,0.889726826090383
16000,11.44,550000,9.58,695,59,12,0.892588783079379
5400,10.49,60000,18.12,775,28,8,0.895826564431621
16000,7.49,79000,12.44,805,10,1,0.896911491244377
8000,12.39,32000,14.25,695,24,5,0.870020117764932
20000,14.99,91000,14.19,775,15,3,0.868617404497873
4700,11.99,45000,15.73,660,31,8,0.856933907047689
25000,6.03,72000,22.73,700,38,4,0.878547441381068
12000,6.99,65000,11.07,790,16,0,0.896911491244377
1000,12.99,77000,16.79,685,9,1,0.893659664443061
10000,8.19,100070,7.67,750,15,1,0.895826564431621
28000,6.99,300000,12.87,715,19,6,0.896911491244377
11450,8.19,42000,19.97,720,10,5,0.895685122802029
28000,8.19,84000,12.73,710,48,7,0.892588783079379
8325,17.86,27775,38.12,660,31,7,0.804948384367801
6000,11.99,125000,24.46,670,28,3,0.844968640342728
3000,11.99,39000,18.34,660,12,7,0.87028765851463
1975,12.39,8892,19.43,695,5,2,0.838182779478688
6425,15.59,70000,7.29,665,8,1,0.875767681810772
16000,6.49,130000,5.51,745,23,2,0.896911491244377
25000,6.49,65000,24.85,765,30,6,0.890024422329711
8000,8.67,65000,17.1,715,23,3,0.895826564431621
10000,7.49,80000,16.29,680,27,2,0.889941688364737
1000,12.39,32000,13.92,685,9,3,0.897074687074922
2200,8.19,29000,27.9,725,10,2,0.888726288024808
10000,12.39,60000,16.76,685,19,5,0.863836938957197
15275,19.99,45000,33.53,790,12,4,0.874713602741035
35000,8.67,120000,25.04,690,46,0,0.875618686637047
12000,8.19,45000,16.32,680,17,2,0.892515599208244
2925,12.99,38000,3.1,660,35,4,0.891132127547969
5000,6.99,50000,3.34,690,13,4,0.892624394732787
7000,6.49,65000,7.94,740,39,3,0.895826564431621
7600,14.99,47000,20.91,660,10,1,0.844669702266248
1500,15.59,40000,21.54,660,28,4,0.840774855151178
15450,9.49,44000,11.24,735,11,3,0.896578611969728
16000,9.49,48000,15.2,665,24,5,0.890720793118927
12000,11.99,45000,29.15,675,15,1,0.861114709418609
20000,12.39,75000,14.28,705,4,2,0.857605089852291
6425,20.99,21600,33.71,695,26,12,0.821752654643093
9200,6.99,62397.83,8.54,730,19,2,0.895826564431621
12000,8.67,80000,6.18,670,43,10,0.886041455202296
14575,10.49,38500,20.36,680,43,5,0.882503971220212
10000,14.31,186000,25.53,715,46,12,0.868053284955571
2000,13.66,72000,34.28,705,28,6,0.894808256425225
11200,15.59,67000,29.02,670,33,11,0.816167743696995
8000,14.99,35000,32.1,720,66,4,0.866086876851558
20000,6.03,100000,9.96,720,19,3,0.896911491244377
25000,7.49,90000,9.93,770,28,2,0.896911491244377
12000,14.99,60000,20.08,680,19,3,0.864518071052145
28000,6.49,85000,15.84,690,21,7,0.892346480154606
